CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A ENERO 2022

ESTACION  : 14202
NOMBRE    : MEDRANO
ESTADO    : JALISCO
MUNICIPIO : GUADALAJARA
SITUACION : OPERANDO
ORGANISMO : LERMA SANTIAGO PACÍFICO
CVE-OMM   : Nulo
LATITUD   : 020.666°
LONGITUD  : -103.321°
ALTITUD   : 1559 msnm

EMISIÓN   : 02/02/2022      	

		PRECIP	EVAP	TMAX	TMIN
  Fecha     	(MM)	(MM)	(°C)	(°C)
01/01/2014	0.3	0.6	18.1	11.7
02/01/2014	0	1.9	23	10.8
03/01/2014	0	1.9	21.7	11
04/01/2014	0	2.4	23	10.2
05/01/2014	0	2.6	23.8	10.6
06/01/2014	0	2.2	20.4	10.8
07/01/2014	0	2.3	22.1	11.4
08/01/2014	0	2.7	23.7	10.6
09/01/2014	0	3.5	24	10.6
10/01/2014	0.5	3.3	23.9	10
11/01/2014	0.8	3.3	18.1	10.2
12/01/2014	0	3.3	20.1	12.2
13/01/2014	0	1.3	23.2	10.3
14/01/2014	0	3.1	23.6	9.6
15/01/2014	0	3.2	22.1	9.9
16/01/2014	0	2.9	21.2	8.1
17/01/2014	0	3.3	23	8.1
18/01/2014	0	3.9	22.4	8.8
19/01/2014	0	2.8	23.6	9.1
20/01/2014	0	2.9	25.3	10.6
21/01/2014	0	3.7	25.6	11.2
22/01/2014	0	3.5	25.7	10.7
23/01/2014	0	3	25.8	11.1
24/01/2014	0	2.6	26	12.8
25/01/2014	0	2.9	26.3	12.9
26/01/2014	0	3.2	26.4	13.7
27/01/2014	0	3.5	26.5	13.4
28/01/2014	0	3.3	25	13
29/01/2014	0	3.2	24.4	11.3
30/01/2014	0	3.2	25.5	11.2
31/01/2014	0	3.8	25.5	11.9
01/02/2014	0	3.7	24.9	12.5
02/02/2014	0	3.8	26.7	11.3
03/02/2014	0	3.6	27.2	11.5
04/02/2014	0	3.6	26.8	11.7
05/02/2014	0	3.6	27	13.1
06/02/2014	0	3.6	26.5	13.4
07/02/2014	0	3.3	26.3	13.9
08/02/2014	0	4.3	27.5	12.7
09/02/2014	0	5	28.3	12.2
10/02/2014	0	4.9	28.2	12.5
11/02/2014	0	4.9	27.4	13.7
12/02/2014	0	4.9	27.1	12.1
13/02/2014	0	5	28.6	11.5
14/02/2014	0	5.2	28.3	12.2
15/02/2014	0	5.4	28.9	13.9
16/02/2014	0	5.5	29.2	13.4
17/02/2014	0	5.5	29.2	13.4
18/02/2014	0	4.9	28.5	14.2
19/02/2014	0	4.5	28.3	14.9
20/02/2014	0	5	26.2	14.2
21/02/2014	0	4.8	27.7	13.1
22/02/2014	0	4.4	27.5	13.7
23/02/2014	0	3.9	26.8	15.4
24/02/2014	0	4.3	27.8	14.6
25/02/2014	0	3.8	26.1	14.8
26/02/2014	0	4.5	28.2	14.7
27/02/2014	0	5.1	28.3	13.8
28/02/2014	0	6.5	28.8	14.3
01/04/2014	0	5.9	31.1	17.1
02/04/2014	0	6.5	31.4	16.7
03/04/2014	0	6.2	30.1	16.8
04/04/2014	0	6.6	31.7	15.3
05/04/2014	0	6.2	31.3	15.9
06/04/2014	0	5.7	29.8	16.3
07/04/2014	0	6.4	29.3	16.9
08/04/2014	0	6.8	29.3	17.6
09/04/2014	0	6.8	29	16.4
10/04/2014	0	6.4	31.6	17.3
11/04/2014	0	6.4	32.1	17.8
12/04/2014	0	6.4	32.8	18.1
13/04/2014	0	6.7	32	18.3
14/04/2014	0	6.4	32.2	17.5
15/04/2014	0	5.7	31.9	16.4
16/04/2014	0	4.4	30.3	18.2
17/04/2014	0	5.2	29.3	17.2
18/04/2014	0	5.5	31.2	17.6
19/04/2014	0	4.9	30.6	18.6
20/04/2014	0	5.3	30.4	19.7
21/04/2014	0	5.7	32.1	19.2
22/04/2014	0	6.3	32.3	18.6
23/04/2014	0	6.5	31.4	17.8
24/04/2014	0	6.5	30.8	19
25/04/2014	0	5.9	30.5	19.3
26/04/2014	0	4.6	29.1	18.9
27/04/2014	0	5.3	29.8	17.7
28/04/2014	0	5.9	31.4	17.8
29/04/2014	0	6.2	30.7	18
30/04/2014	0	7.2	31.1	19.2
01/05/2014	0	5.5	30.1	18.8
02/05/2014	0	5.1	29.2	18.4
03/05/2014	0	4.9	30.4	18.6
04/05/2014	0	4.7	31.4	18.8
05/05/2014	0	5.3	32.2	19.2
06/05/2014	0	4.6	32.1	19.3
07/05/2014	6.8	0.9	21.8	19
08/05/2014	0	2.3	27.6	15.9
09/05/2014	0	3.7	29.6	17.7
10/05/2014	0	4.4	31.1	18.3
11/05/2014	0	4.4	31.2	19.8
12/05/2014	0	4.4	31.3	19.7
13/05/2014	0	3.8	30.8	19.7
14/05/2014	1.5	4.3	32.1	18.7
15/05/2014	1	3.8	28.8	16.5
16/05/2014	0	5.8	30.6	17.3
17/05/2014	0	6.1	32.1	17.8
18/05/2014	1	6.5	32.2	19.1
19/05/2014	2.5	4.6	31.3	19.2
20/05/2014	0	4.8	32.6	19
21/05/2014	0	3.7	30.3	20
22/05/2014	1	2.8	29.1	19.4
23/05/2014	0	2.8	28.7	16.6
24/05/2014	8.1	2.5	27.5	18.8
25/05/2014	0	3.3	29.6	19.1
26/05/2014	3	2.3	29.4	20.4
27/05/2014	31.7	2.2	29.5	16.3
28/05/2014	0	1.8	25.7	16.8
29/05/2014	0.3	1.5	25.3	17.9
30/05/2014	0	1.5	31.6	18.7
31/05/2014	0	5.4	31.6	19.4
01/06/2014	0	4.4	31.5	19.7
02/06/2014	0	5.1	31.6	21
03/06/2014	0	4.6	29.9	19.8
04/06/2014	0.8	3.7	31.3	20.1
05/06/2014	3.8	2.2	31	19.4
06/06/2014	2.8	1.9	29.7	18.9
07/06/2014	0	1.9	28.9	17.7
08/06/2014	1	2.1	30.4	19.6
09/06/2014	3	1.9	29.6	20.8
10/06/2014	10.9	2.4	30.3	17.9
11/06/2014	0	2.4	30.7	19.1
12/06/2014	0	2.4	31.6	20.7
13/06/2014	7.4	3	31.2	21
14/06/2014	70.3	2.2	30.7	20.1
15/06/2014	7.8	2.6	30.4	14.7
16/06/2014	23.1	2.1	28.8	17.1
17/06/2014	1.5	1.9	29.5	17.2
18/06/2014	0.3	2.7	29.1	17.4
19/06/2014	57.9	1.5	28.3	18.3
20/06/2014	0	1.2	25.3	17.1
21/06/2014	0.3	1.7	26.4	17.7
22/06/2014	7.4	1.6	27.6	18.6
23/06/2014	16.2	0.9	26.6	19.3
24/06/2014	2	1.4	28.7	18.5
25/06/2014	1.5	1.6	27.6	17.1
26/06/2014	0	1.1	25.4	18.2
27/06/2014	22.1	1.3	27	19.3
28/06/2014	0	1.9	26.9	16.8
29/06/2014	4	2	27.6	18.1
30/06/2014	0	4.8	24.2	17.2
01/07/2014	0.3	0.9	23.8	18.3
02/07/2014	2.8	1.3	26.4	18.7
03/07/2014	0.5	1.4	25.9	16.7
04/07/2014	33	0.9	26.4	17.8
05/07/2014	0.5	2.4	26.7	17.1
06/07/2014	19.8	2	27.9	18.6
07/07/2014	16.3	1.4	25.6	15.6
08/07/2014	2	1.8	27.7	16.5
09/07/2014	0	2.1	28.1	18.1
10/07/2014	0	2.3	29.2	19.2
11/07/2014	36.6	2.3	27.8	17.4
12/07/2014	20.3	2.3	26.1	16.7
13/07/2014	0	1.6	28.1	16.6
14/07/2014	11.2	2.3	28.7	15.9
15/07/2014	0	2.2	28.3	15.6
16/07/2014	6.1	1.3	27	17.9
17/07/2014	0	1.7	27.6	17.1
18/07/2014	1.5	2.8	28.8	18.2
19/07/2014	0	1.4	25.7	17.3
20/07/2014	0	3	29.3	17.7
21/07/2014	0	4	30.9	18.8
22/07/2014	0	4	30.9	19.2
23/07/2014	0	4.6	30.9	19.2
24/07/2014	7.1	2.7	27.2	18.7
25/07/2014	0	2.7	28.3	15.8
26/07/2014	0	2.6	29.4	17.3
27/07/2014	10.7	1.8	27.9	19.3
28/07/2014	3	2.2	29.6	16.8
29/07/2014	0	2.3	28.5	15.7
30/07/2014	9.9	2.3	28	17.7
31/07/2014	2.5	4.7	28	15.9
01/08/2014	6.3	2.1	28.7	18.9
02/08/2014	0.3	3.5	29.6	17.3
03/08/2014	0	3.5	28.9	18.5
04/08/2014	24.4	2.5	28.6	18.5
05/08/2014	26.9	1.8	29.1	15.8
06/08/2014	16.5	1.4	27.7	16.4
07/08/2014	2.5	1.3	25.6	16
08/08/2014	0	1.9	28.5	17.2
09/08/2014	22.3	1.2	26.6	16.9
10/08/2014	0.5	1.8	27.2	15.9
11/08/2014	0	1.8	27.7	17
12/08/2014	0.5	1.8	26.9	18.6
13/08/2014	1	2	26.6	17.8
14/08/2014	0	1.7	26.4	17.5
15/08/2014	0	2.1	27.9	16.6
16/08/2014	4.3	1.4	27.3	17.7
17/08/2014	0	2.2	27.7	17.1
18/08/2014	43.1	2.6	27.3	17.8
19/08/2014	0.5	1.3	26.4	15.9
